StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID1,QID2,QID3,QID4,QID4_5_TEXT,QID7,QID6,QID8,QID8_25_TEXT,QID10,QID11,QID12,QID13,QID15,QID16,QID17,QID40,QID18,QID19,QID20,QID21,QID22,QID23,QID24,QID25,QID26,QID28,QID29,QID30,QID31,QID32
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Other,,,,College of Letters and Sciences,,Slightly familiar,Extremely familiar,Moderately familiar,Yes,"Open source software such as Python, R, Julia and packages for these systems.",Critical/Vital/Essential,,I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Scalability,Community Support,Vendor Independence",Yes,Strongly agree,Strongly agree,Yes,Somewhat agree,Very valuable,Yes,"Seminars and workshops on R, Julia and Python",Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,10+ years,School of Medicine and Public Health,,Extremely familiar,Extremely familiar,Extremely familiar,Yes,"R, linux, python, Jupyter, gcc, emacs, ruby, ",Critical/Vital/Essential,,I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Lower Costs,Vendor Independence",Yes,Strongly agree,Strongly agree,Yes,Somewhat agree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Other,,,,Division of Extension,,Slightly familiar,Moderately familiar,Slightly familiar,Yes,"Shiny, R",Valuable,"NVivo,SAS",I use open source software much less than the licensed software in CSL,"Knowledge Sharing,Community Support,Lower Costs",Yes,Strongly agree,Somewhat agree,No,Neither agree nor disagree,Some value,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,1-3 years,School of Computer Data and Information Sciences,,Slightly familiar,Very familiar,Very familiar,No,,Valuable,"Mathematica,Matlab",I use open source software about the same as the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Scalability,Community Support,Lower Costs",Yes,Somewhat agree,Strongly agree,No,Somewhat agree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Staff,,,10+ years,Office of the Vice Chancellor for Research,,Moderately familiar,Extremely familiar,Moderately familiar,Yes,"Our entire ecosystem is built predominantly around open source:

Operating systems (Linux)
provisioning/configuration management - puppet, foreman, PXE boot
databases
web servers
container orchestration
applications (mediawiki, bookstack, dhcp, bind, ldap,) 
development tools (gcc++, Python, Ruby, Rust) 
JupyterHub",Critical/Vital/Essential,"Autodesk,Matlab",I use open source software much more than the licensed software in CSL,"Flexibility,Scalability,Customization,Lower Costs,Vendor Independence",Yes,Strongly agree,Strongly agree,Yes,Somewhat disagree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,10+ years,College of Engineering,,Extremely familiar,Extremely familiar,Slightly familiar,Yes,Research software: many many packages.,Critical/Vital/Essential,"Labview,Mathematica,Matlab,Origin",I use open source software about the same as the licensed software in CSL,Knowledge Sharing,Not sure,Neither agree nor disagree,Somewhat disagree,Yes,Somewhat agree,Some value,No,,No,No,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Staff,,,1-3 years,Other,DoIT,Slightly familiar,Very familiar,Moderately familiar,Yes,"R, Python ",Critical/Vital/Essential,,I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Community Support,Lower Costs,Vendor Independence",Yes,Strongly agree,Strongly agree,Yes,Somewhat agree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,10+ years,College of Engineering,,Moderately familiar,Extremely familiar,Very familiar,Yes,"OpenMC, DAGMC, Cyclus, PyNE",Critical/Vital/Essential,SolidWorks,I use open source software much more than the licensed software in CSL,"Reproducibility,Customization,Lower Costs",Yes,Strongly agree,Strongly agree,Yes,Somewhat agree,Very valuable,Yes,Software carpentry,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Staff,,,10+ years,Graduate School,,Not familiar at all,Extremely familiar,Extremely familiar,Yes,I've been a Unix Sys Admin and still manage IT resources. Too many to list. (from OS to services to software),Critical/Vital/Essential,,"N/A, I don't use either","Reproducibility,Lower Costs,Vendor Independence",Yes,Somewhat agree,Neither agree nor disagree,Yes,Somewhat agree,Some value,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Staff,,,7-10 years,School of Medicine and Public Health,,Very familiar,Extremely familiar,Very familiar,Yes,"R
Zotero
QGIS
Audacity
Python",Critical/Vital/Essential,NVivo,I use open source software much more than the licensed software in CSL,"Reproducibility,Community Support,Customization,Lower Costs,Vendor Independence",Yes,Strongly agree,Neither agree nor disagree,Yes,Somewhat disagree,Very valuable,Yes,several Carpentries trainings,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Staff,,,10+ years,School of Medicine and Public Health,,Not familiar at all,Very familiar,Moderately familiar,Yes,"PHP, javascript, bootstrap, jquery, ckeditor, jwplayer, Codeigniter, Docker, Axe devtools, Wave evaluation, html validator, Gitlab, XDebug",Critical/Vital/Essential,,I use open source software much more than the licensed software in CSL,"Knowledge Sharing,Community Support,Customization,Lower Costs",Yes,Strongly agree,Strongly agree,No,Somewhat agree,Very valuable,No,,Yes,No,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,7-10 years,School of Medicine and Public Health,,Not familiar at all,Very familiar,Moderately familiar,Yes,"PyTorch, Python, Linux, R",Critical/Vital/Essential,Matlab,I use open source software much more than the licensed software in CSL,"Knowledge Sharing,Community Support",Yes,Strongly agree,Somewhat agree,Yes,Neither agree nor disagree,Some value,Yes,"Git, R",Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,10+ years,College of Engineering,,Slightly familiar,Extremely familiar,Very familiar,Yes,"R, python, pyomo, octave, sage, COIN-OR, audacity, 7-zip, open office, ",Valuable,Matlab,I use open source software about the same as the licensed software in CSL,"Knowledge Sharing,Flexibility",Not sure,Strongly agree,Strongly agree,No,Neither agree nor disagree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,10+ years,College of Letters and Sciences,,Not familiar at all,Very familiar,Very familiar,Yes,PressBooks,Valuable,"TechSmith Camtasia,NVivo",I use open source software much less than the licensed software in CSL,Lower Costs,Yes,Somewhat agree,Somewhat agree,No,Neither agree nor disagree,Neutral,Yes,training in using PressBooks from LSS,Yes,No,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,10+ years,College of Letters and Sciences,,Not familiar at all,Moderately familiar,Moderately familiar,Yes,Federal government data,Neutral,,"N/A, I don't use either","Flexibility,Scalability,Community Support,Vendor Independence",Yes,Somewhat agree,Somewhat agree,No,Neither agree nor disagree,Some value,No,,Yes,No,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,10+ years,Office of the Vice Chancellor for Research,,Not familiar at all,Moderately familiar,Moderately familiar,No,,Valuable,,I use open source software much less than the licensed software in CSL,"Lower Costs,Vendor Independence",Yes,Strongly agree,Somewhat agree,No,Neither agree nor disagree,Some value,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,4-7 years,College of Letters and Sciences,,Moderately familiar,Extremely familiar,Extremely familiar,Yes,,Critical/Vital/Essential,"TechSmith Camtasia,Matlab,NVivo,STATA",I use open source software much more than the licensed software in CSL,"Flexibility,Customization,Lower Costs",Yes,Neither agree nor disagree,Somewhat agree,No,Neither agree nor disagree,Very valuable,No,,No,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Graduate Student,,,,School of Medicine and Public Health,,Slightly familiar,Very familiar,Moderately familiar,Yes,,Critical/Vital/Essential,"Matlab,SAS,STATA",I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Community Support,Customization,Lower Costs",Yes,Strongly agree,Strongly agree,Yes,Neither agree nor disagree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,10+ years,College of Agricultural and Life Sciences,,Slightly familiar,Slightly familiar,Not familiar at all,Yes,Apps,Valuable,SAS,I use open source software much less than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Community Support",Yes,Somewhat agree,Somewhat agree,Yes,Neither agree nor disagree,Some value,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Graduate Student,,Microbiology,,School of Medicine and Public Health,,Moderately familiar,Very familiar,Extremely familiar,Yes,Genomics software,Critical/Vital/Essential,,I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Scalability,Community Support,Customization,Lower Costs,Vendor Independence",Yes,Strongly agree,Strongly agree,No,Neither agree nor disagree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Staff,,,4-7 years,Graduate School,,Slightly familiar,Very familiar,Very familiar,Yes,R-Studio,Neutral,"SmartDraw,TechSmith Camtasia,NVivo,SAS",I use open source software much less than the licensed software in CSL,"Knowledge Sharing,Flexibility,Customization,Lower Costs,Vendor Independence",Yes,Somewhat agree,Somewhat agree,No,Neither agree nor disagree,Very valuable,Yes,R and Python training through Data Carpentries and SSSC,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,4-7 years,College of Letters and Sciences,,Slightly familiar,Very familiar,Very familiar,Yes,"Code on open-source hosting platforms, e.g., GitHub, datasets",Valuable,NVivo,I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Community Support,Customization,Lower Costs",Yes,Strongly agree,Strongly agree,Yes,Neither agree nor disagree,Some value,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Staff,,,10+ years,College of Engineering,,Moderately familiar,Very familiar,Moderately familiar,Yes,"GNU, Linux, and various OS distributions, htcondor, slurm, python, SAMBA, firefox, blender, povray inkscape, TeX&LaTeX, illumos (OmniOS), OpenFOAM, Paraview, foswiki, greylog, nagios and many more.",Critical/Vital/Essential,"SmartDraw,Autodesk,Labview,Maple,Mathematica,Matlab,Origin",I use open source software about the same as the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Scalability,Community Support,Customization,Lower Costs,Vendor Independence",Yes,Somewhat agree,Somewhat agree,Yes,Somewhat agree,Some value,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Graduate Student,,mathematics,,College of Letters and Sciences,,Very familiar,Extremely familiar,Extremely familiar,Yes,"my linux distro and KDE, R, Julia, Python, LaTeX, firefox, nextcloud, git, r studio, bitwarden",Critical/Vital/Essential,,I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Lower Costs",Yes,Strongly agree,Strongly agree,Yes,Somewhat disagree,Very valuable,Yes,a public health sciences course on reproducibility and rigor in social sciences included discussions on open source software and research,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,10+ years,College of Letters and Sciences,,Not familiar at all,Extremely familiar,Very familiar,Yes,"software packages for data analysis, such as R or Julia packages",Critical/Vital/Essential,,I use open source software much more than the licensed software in CSL,"Knowledge Sharing,Customization,Lower Costs",Yes,Strongly agree,Strongly agree,Yes,Strongly disagree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Staff,,,10+ years,Office of the Vice Chancellor for Research,,Very familiar,Extremely familiar,Very familiar,Yes,virtually all of them? it's easier to list the ones that aren't,Critical/Vital/Essential,SmartDraw,I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Scalability,Community Support,Customization,Vendor Independence",Yes,Strongly agree,Neither agree nor disagree,Yes,Neither agree nor disagree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,No,"In 1994 to 1996, I developed an Expert System for U.W. Madison TIC",,,,,,,Extremely familiar,Extremely familiar,Extremely familiar,Yes,"Python, R programming language, Julia programming language, SQlite, MySQL",Critical/Vital/Essential,,I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Scalability,Community Support,Customization,Lower Costs,Vendor Independence",Yes,Strongly disagree,Strongly disagree,Yes,Strongly disagree,Very valuable,Yes,I received some education on the R programming language before U.W. Madison had a Data Science program.,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,10+ years,College of Letters and Sciences,,Not familiar at all,Very familiar,Moderately familiar,Yes,"Open community databases that enable macro-scale ecological & geological research.
R and various packages relating to it.
GitHub
",Critical/Vital/Essential,,I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Community Support,Customization,Lower Costs,Vendor Independence",Yes,Strongly agree,Somewhat disagree,Yes,Neither agree nor disagree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Staff,,,4-7 years,College of Letters and Sciences,,Moderately familiar,Extremely familiar,Moderately familiar,Yes,"QGIS, GRASS GIS, OpenDroneMap, GDAL, PostgreSQL, PostGIS, R, Python",Critical/Vital/Essential,TechSmith Camtasia,I use open source software about the same as the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Lower Costs",Yes,Strongly agree,Somewhat agree,Yes,Somewhat agree,Some value,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Staff,,,10+ years,College of Letters and Sciences,,Extremely familiar,Extremely familiar,Extremely familiar,Yes,"R, GRASS, QGIS, expressjs/nodejs, PostgreSQL, Python, Linux",Critical/Vital/Essential,,I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Scalability,Community Support,Customization,Lower Costs,Vendor Independence",Yes,Strongly agree,Strongly agree,Yes,Neither agree nor disagree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Undergraduate Student,,Biochemistry and math,,College of Letters and Sciences,,Slightly familiar,Moderately familiar,Very familiar,No,,Valuable,"Matlab,PyMOL",I use open source software much more than the licensed software in CSL,"Knowledge Sharing,Scalability,Lower Costs",Yes,Somewhat agree,Strongly agree,No,Somewhat agree,Very valuable,No,,Yes,No,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,10+ years,School of Medicine and Public Health,,Slightly familiar,Very familiar,Very familiar,Yes,"Java Treeview, R packages, Python packages & scripts",Critical/Vital/Essential,,I use open source software much more than the licensed software in CSL,Knowledge Sharing,Not sure,Strongly agree,Neither agree nor disagree,Yes,Somewhat agree,Very valuable,No,,Yes,No,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,10+ years,College of Letters and Sciences,,Not familiar at all,Very familiar,Slightly familiar,Yes,"Audacity, ELAN, others...",Critical/Vital/Essential,,I use open source software much less than the licensed software in CSL,"Knowledge Sharing,Community Support,Customization,Lower Costs",Yes,Neither agree nor disagree,Neither agree nor disagree,Yes,Neither agree nor disagree,Very valuable,No,,No,No,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Graduate Student,,Biological Systems Engineering ,,College of Agricultural and Life Sciences,,Very familiar,Very familiar,Moderately familiar,Yes,"Python, Linux, Open Science Grid, Internet Protocol software, TeX, HTCondor, Jupyter  notebooks, R, Octave",Critical/Vital/Essential,"Matlab,PyMOL",I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Community Support,Customization,Vendor Independence",Yes,Somewhat agree,Strongly agree,Yes,Somewhat agree,Neutral,Yes,"Software carpentry, R",Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Graduate Student,,Physics,,Graduate School,,Not familiar at all,Very familiar,Moderately familiar,Yes,,Critical/Vital/Essential,,I use open source software much more than the licensed software in CSL,"Flexibility,Community Support",Yes,Strongly agree,Strongly agree,Yes,Somewhat agree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,1-3 years,School of Computer Data and Information Sciences,,Not familiar at all,Very familiar,Very familiar,Yes,"GitHub, Carpentry, HuggingFace, Shared Google Colab & Google Drive",Critical/Vital/Essential,,I use open source software much more than the licensed software in CSL,"Knowledge Sharing,Flexibility,Community Support,Customization,Lower Costs,Vendor Independence",Yes,Strongly agree,Strongly agree,Yes,Somewhat agree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Undergraduate Student,,Computer Sciences,,School of Computer Data and Information Sciences,,Very familiar,Extremely familiar,Moderately familiar,Yes,"Linux, git, GNU projects including build tools, LLVM, many languages including Python and Rust, browser engines like Chromium and WebKit, research products like Apache Spark and HTCondor",Critical/Vital/Essential,"Autodesk,Mathematica,Matlab",I use open source software much more than the licensed software in CSL,,Not sure,Strongly agree,Strongly agree,Yes,Neither agree nor disagree,Some value,Yes,"We covered different license types briefly in CS 544 Big Data, also I attended a UPL (Undergraduate Projects Lab) event that talked about open-source.",Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Graduate Student,,Computer Science,,College of Letters and Sciences,,Very familiar,Very familiar,Very familiar,Yes,Tensorflow and Pytorch,Critical/Vital/Essential,"Mathematica,Matlab",I use open source software much more than the licensed software in CSL,"Flexibility,Community Support,Customization,Lower Costs,Vendor Independence",Yes,Strongly agree,Strongly agree,No,Neither agree nor disagree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Graduate Student,,Industrial and Systems Engineering PhD,,College of Engineering,,Slightly familiar,Extremely familiar,Extremely familiar,Yes,"Python, python IDEs and distributions such as Anaconda, and numerous packages such as pandas, scipy, numpy, matplotlib, seaborn, etc. 
R, R distributions and IDEs such as RStudio, and numerous packages. 
Julia",Critical/Vital/Essential,Matlab,I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Community Support,Customization,Lower Costs,Vendor Independence",Yes,Strongly agree,Somewhat agree,Yes,Neither agree nor disagree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Graduate Student,,Mathematics,,College of Letters and Sciences,,Very familiar,Extremely familiar,Very familiar,Yes,The toolchains for the languages I use to write simulations (Python and C++). Computer algebra systems such as Sage. Most Linux utilities.,Critical/Vital/Essential,Mathematica,I use open source software much more than the licensed software in CSL,"Reproducibility,Flexibility,Customization,Vendor Independence",Yes,Somewhat agree,Neither agree nor disagree,Yes,Neither agree nor disagree,Some value,No,,No,No,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,0-1 years,College of Letters and Sciences,,Slightly familiar,Very familiar,Moderately familiar,Yes,"Open source software, such as python libraries (qutip, qiskit, numpy, pyscf, etc); including code that we develop",Critical/Vital/Essential,"Mathematica,Matlab",I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Scalability,Community Support",Yes,Strongly agree,Strongly agree,Yes,Somewhat agree,Very valuable,No,,Yes,Yes,,,
